English,Urdu
where were you,آپ کہاں تھے؟
"as you know, i donâ€™t have much free time","جیسا کہ آپ جانتے ہیں، میرے پاس زیادہ فارغ وقت نہیں ہے"
i was jealous,میں حسد کرتا تھا
we found something,ہم نے کچھ پایا
wont you tell me,کیا آپ مجھے بتائیں گے
it turned out well,یہ اچھی طرح سے نکلا
dont go yet,ابھی تک نہ جائیں
zain liked horses,زین گھوڑے پسند کرتا تھا
do you have any free tables,کیا آپ کے پاس کوئی مفت جدول ہے
wheres your mother,جہاں آپ کی ماں
he is heroic,وہ بہادر ہے
zain found nothing,زین کو کچھ نہیں ملا
i have been slandered,مجھے بہتان لگایا گیا ہے
the water was warm,پانی گرم تھا
she spoke up for him,اس نے اس کے لئے بات کی
zain looked very old,زین بہت بوڑھا لگ رہا تھا
i only use cane sugar,میں صرف گنے کی چینی استعمال کرتا ہوں
he was very excited,وہ بہت پرجوش تھا
the house fell down one week later,وہ گھر ایک ہفتہ بعد ہی زمین بوس ہو گیا۔
tom was about to say something,ٹام کچھ کہنے والا تھا
she rubbed her eyes,اس نے اپنی آنکھیں رگڑی
now i feel bad,اب مجھے برا لگتا ہے
i wish i hadnt cried,کاش میں روتا نہ ہوتا
i rescued him,میں نے اسے بچا لیا
they are crazy,وہ پاگل ہیں
he lived a long life,اس نے ایک لمبی زندگی گزاری۔
the milk turned sour,دودھ کھٹا ہو گیا
bring food,کھانا لانا
he is a bigot,وہ ایک متعصب ہے
it was only a dream,یہ صرف ایک خواب تھا
its to the point,اس کی حد تک
i am sure zains fine,مجھے یقین ہے کہ زین ٹھیک ہے
zain is strong,زین مضبوط ہے
i am okay,میں ٹھیک ہوں
he is wearing a hat,اس نے ٹوپی پہن رکھی ہے
thats very sweet,یہ بہت پیارا ہے
i am good at tennis,میں ٹینس میں اچھا ہوں
zain had a lot to do,زین کو بہت کچھ کرنا تھا
zain isnt naive,زین سادہ نہیں ہے
i am well,ميں ٹھيک ہوں
i am talking about you,میں آپ کے بارے میں بات کر رہا ہوں
"if you donâ€™t talk to me, talk to your psychologist",اگر آپ مجھ سے بات نہیں کرتے تو اپنے ماہر نفسیات سے بات کریں
she loves antiques,وہ قدیم چیزوں سے محبت کرتی ہے
you are a prisoner,آپ قیدی ہیں
its mine not hers,اس کی کان نہیں اس کی
what a shame,کتنی شرم کی بات ہے
abandon ship,جہاز چھوڑنا
where have you been,آپ کہاں رہے ہیں
he has already begun,وہ پہلے ہی شروع کر چکا ہے
i havent lied to you,میں نے تم سے جھوٹ نہیں بولا ہے
there is a message for you,آپ کے لئے ایک پیغام ہے
i owe you a dinner,میں نے آپ کو ایک رات کا کھانا واجب الادا ہے
fish live in the sea,مچھلیاں سمندر میں رہتی ہیں
were going alone,اکیلے جا رہے تھے
i am in the same boat,میں ایک ہی کشتی میں ہوں
it scares me,یہ مجھے ڈراتا ہے
is zain here too,یہاں بھی زین ہے
i had like to be alone,مجھے تنہا رہنا پسند تھا۔
she can drive a car,وہ ایک کار چلا سکتے ہیں
how do i use this,میں اس کا استعمال کیسے کروں
am i welcome here,میں یہاں خوش آمدید ہوں
i misspelled the word,میں نے لفظ غلط لکھا
is it foggy,کیا یہ دھندلا ہے
maybe it will snow,شاید یہ برف باری ہو جائے گا
that must be my book,یہ میری کتاب ہونی چاہیے
this is not enough,یہ کافی نہیں ہے
the forest was dark,جنگل اندھیرا تھا
could i use your desk,کیا میں آپ کی میز استعمال کر سکتا ہوں
someone must lead,کسی کو قیادت کرنی چاہئے
i failed my exam,میں نے اپنا امتحان ناکام کر دیا
lets play something,کچھ کھیلنے دیتا ہے
they stood there,وہ وہاں کھڑے تھے
i like it,مجھے پسند ہے
the check bounced,چیک اچھال گیا
this book is hers,یہ کتاب اس کی ہے
what is in the dessert,میٹھے میں کیا ہے
it isnt a prophecy,یہ کوئی پیشن گوئی نہیں ہے
i got a weird email,میں نے ایک عجیب ای میل مل گیا
zain will be furious,زین غصے میں آ جائے گا
this ink is the best,یہ سیاہی بہترین ہے
zain grimaced bravely,زین نے بہادری سے گھبرایا
is there a timetable,کیا کوئی ٹائم ٹیبل ہے
boil the water,پانی ابالیں
were getting closer,قریب ہو رہے تھے
i wish he were here,کاش وہ یہاں ہوتا
i can do more,میں مزید کر سکتا ہوں
he is a good liar,وہ ایک اچھا جھوٹا ہے
were surrounded,گھیر لیا گیا
dont laugh at him,اس پر ہنسنا نہیں
how did you see that,آپ نے یہ کیسے دیکھا
please do not forget,براہ مہربانی مت بھولیں
we believe in god,ہم خدا پر یقین رکھتے ہیں
were quite drunk,کافی نشے میں تھے
was zain with mary,مریم کے ساتھ زین تھا
wheres the bus stop,جہاں بس اسٹاپ
i cant wait all day,میں سارا دن انتظار نہیں کر سکتا
she is lucky,وہ خوش قسمت ہے
i have got half an hour,مجھے آدھا گھنٹہ مل گیا ہے
no one is perfect,کوئی بھی کامل نہیں ہے
please dont bother,براہ مہربانی پریشان نہ ہوں
cant we just go home,ہم صرف گھر جا سکتے ہیں
i am reading a book,میں ایک کتاب پڑھ رہا ہوں
go and have a look,جاؤ اور ایک نظر ڈالو
were out of time,وقت سے باہر تھے
zain is very immature,زین بہت ناپختہ ہے
are you there,تمہیں یاد ہے
zain is such a moron,زین ایسا مورون ہے
she had no one to turn to,اس کے پاس کوئی بھی نہیں تھا جس کے پاس وہ جاتی۔
stop being so picky,اتنا پیکی ہونا بند کریں
we want tom,ہم ٹام چاہتے ہیں
i dont like doctors,مجھے ڈاکٹر پسند نہیں ہیں
why did you stop,آپ نے
i like that tie,مجھے وہ ٹائی پسند ہے
no one left,کوئی نہیں چھوڑا
are you bored here,کیا آپ یہاں بور ہیں
show me,مجھے دکھائیں!
i really want a beer,میں واقعی ایک بیئر چاہتے ہیں
tell us something,ہمیں کچھ بتائیں
mary giggled,مریم ہنس پڑی
how does zain do that,زین ایسا کیسے کرتا ہے
itâ€™s not my nature to express sadness,اداسی کا اظہار کرنا میری فطرت نہیں ہے
you need to rest,آپ کو آرام کرنے کی ضرورت ہے
warn tom,ٹام کو متنبہ کریں
i lost consciousness,میں ہوش کھو بیٹھا
why do people kiss,لوگ بوسہ کیوں لیتے ہیں
zain lost again,زین پھر کھو گیا
why isnt zain asleep,زین کیوں نہیں سو رہا ہے
he is delicate,وہ نازک ہے
wake me up at five o clock,مجھے پانچ بجے جگادو
i ran for my life,میں اپنی زندگی کے لئے بھاگا
weve found tom,ہم نے ٹام کو ڈھونڈ لیا
we will meet again,ہم دوبارہ ملیں گے
zain is watching mary,زین مریم کو دیکھ رہا ہے
where is father,باپ کہاں ہے
did you enjoy that,کیا آپ اس سے لطف اندوز ہوئے
mary shrieked,مریم چیخ
i like dogs very much,مجھے کتے بہت پسند ہیں
let me change it for you,میں آپ کے لئے اسے تبدیل کرنے دو
why dont we go in,ہم اندر کیوں نہیں جاتے
we work together,ہم مل کر کام کرتے ہیں
zains healthy,زان صحت مند
i wake up very early,میں بہت جلد جاگ جاتا ہوں
he reads a great deal,وہ بہت کچھ پڑھتا ہے
how barbaric,کتنا وحشیانہ
vote for tom,ٹام کو ووٹ دیں
is that shrimp in the soup,سوپ میں جھینگا ہے
zain is quite shy,زین کافی شرمیلا ہے
people like me,میرے جیسے لوگ
i made you breakfast,میں نے آپ کو ناشتہ بنایا
i dont drink beer,میں بیئر نہیں پیتا
she became happy,وہ خوش ہو گئی
i was very happy,میں بہت خوش تھا
zain was hurt,زین کو چوٹ لگی
i have got a pacemaker,مجھے پیس میکر مل گیا ہے
did you believe tom,کیا آپ نے ٹام پر یقین کیا
he died ten years ago,دس سال قبل ان کا انتقال ہو گیا۔
i hurried home,میں جلدی سے گھر گیا
what is the matter,کیا معاملہ ہے
she still loves him,وہ اب بھی اس سے محبت کرتی ہے
everyone hesitated,ہر کوئی ہچکچاتا تھا
that was so much fun,یہ بہت مزہ تھا
here are the tickets,Here are the tickets.
"you are not unselfish, are you","تم بے غرض نہیں ہو، کیا تم ہو"
zain is his brother,زین اس کا بھائی ہے
did you like that,کیا آپ کو پسند آیا
thats funny,یہ مضحکہ خیز ہے
he is henpecked,وہ مرغی ہے
i like this love song,مجھے یہ محبت کا گانا پسند ہے
let me call you back,میں آپ کو واپس کال کرتا ہوں
men never cry,مرد کبھی نہیں روتے
i have no siblings,میرا کوئی بہن بھائی نہیں ہے
who ate the bread,جو روٹی کھاتے تھے
i will do it myself,میں خود کروں گا
you are pretty,تم خوبصورت ہو
he employed a new maid,اس نے ایک نئی نوکرانی رکھ لی۔
our project failed,ہمارا منصوبہ ناکام ہو گیا
it was simple,یہ آسان تھا
quiet down,چپ
have you sold it yet,کیا آپ نے اسے ابھی تک فروخت کیا ہے
a little bird told me,ایک چھوٹے پرندے نے مجھے بتایا
compare the facts,حقائق کا موازنہ کریں
we are not speaking,ہم بول نہیں رہے ہیں
i felt like an idiot,میں نے ایک احمق کی طرح محسوس کیا
zain was indiscreet,زین غیر دانشمند تھا
zain is smoking,زین تمباکو نوشی کر رہا ہے
i know that,مجھے معلوم ہے
be sensible,سمجھدار ہو
wheres your dog,جہاں آپ کا کتا
its obsolete,اس کا متروک
i like to dye my hair,میں اپنے بالوں کو رنگنا پسند کرتا ہوں
welcome to boston,بوسٹن میں خوش آمدید
nothings working,کچھ بھی کام نہیں کر رہا ہے
i see a star,میں نے ایک ستارہ دیکھا
i meant the opposite,میرا مطلب اس کے برعکس تھا
zain is coughing,زین کھانسی ہے
whose friend is he,جس کا دوست ہے
poets write poems,شاعر نظمیں لکھتے ہیں
when is school over,اسکول کب ختم ہوتا ہے
we see with our eyes,ہم اپنی آنکھوں سے دیکھتے ہیں
zain has to stay,زین کو رہنا ہے
leave the door open,دروازہ کھلا چھوڑ دیں
i cant swim at all,میں بالکل تیر نہیں سکتا
i think you are right,مجھے لگتا ہے کہ آپ صحیح ہیں
i was hungry,مجھے بھوک لگی تھی
zain has ocd,زین نے آکڈ کیا ہے
i would not do that,میں ایسا نہیں کروں گا
lets hurry up,جلدی کرنے دیتا ہے
i dont see you,میں نے آپ کو نہیں دیکھا
i have greasy skin,میں چکنی جلد ہے
he is as poor as ever,وہ ہمیشہ کی طرح غریب ہے
zain is lefthanded,زین بائیں ہاتھ کا ہے
i dont drink alcohol,میں شراب نہیں پیتا
we had our reasons,ہمارے پاس اپنی وجوہات تھیں
let zain come aboard,زین کو جہاز پر آنے دیں
i wish i had a dog,کاش میرے پاس کتا ہوتا
what is wrong with it,اس میں کیا خرابی ہے
the ship was at sea,جہاز سمندر میں تھا
i wrote that book,میں نے وہ کتاب لکھی
i didnt like that,مجھے یہ پسند نہیں آیا
do it for me,میرے لئے یہ کرو
zain gave a big yawn,زین نے ایک بڑی جمائی دی
i am not busy either,میں بھی مصروف نہیں ہوں
it looked cheap,وہ سستا لگتا تھا۔
everyone is drunk,ہر کوئی نشے میں ہے
what about this one,اس کے بارے میں کیا
she has a bike,وہ ایک موٹر سائیکل ہے
she told you twice,اس نے آپ کو دو بار بتایا
she works in a bank,وہ ایک بینک میں کام کرتی ہے
i knew the risks,میں خطرات جانتا تھا
i am still job hunting,میں اب بھی ملازمت کا شکار کر رہا ہوں
zain confessed,زین نے اعتراف کیا
its about time,اس کے بارے میں وقت
its beyond me,یہ مجھ سے باہر ہے
lets talk outside,باہر بات کرنے دیتا ہے
i am not old,میں بوڑھا نہیں ہوں
no one will find out,کسی کو پتہ نہیں چلے گا
we season with salt,ہم نمک کے ساتھ موسم
does she live in lahore,کیا وہ لاہور میں رہتی ہے
i want its fancy price,میں اس کی فینسی قیمت چاہتے ہیں
i will carry you,میں آپ کو لے جاؤں گا
i made a snack for us,میں نے ہمارے لئے ایک ناشتہ بنایا
you should stop that,آپ کو اسے روکنا چاہئے
he himself did it,اس نے خود یہ کیا
he has alzheimers,اسے الزائمر ہے
it belongs to me now,یہ اب میرا ہے
i called my lawyer,میں نے اپنے وکیل کو فون کیا
nothing can stop me,مجھے کوئی چیز نہیں روک سکتی
zain isnt hurt,زین کو چوٹ نہیں لگی ہے
its not a trick,یہ کوئی چال نہیں
may i come again,میں پھر آؤں
dont worry about me,میرے بارے میں فکر نہ کریں
zains useless,زان بیکار
that is not a tiger,یہ شیر نہیں ہے
never assume anything,کبھی کچھ فرض نہ کریں
wheres my desk,جہاں میری میز
i have back problems,مجھے کمر کے مسائل ہیں
dont tempt me,مجھے آمادہ نہ کریں
zain doesnt do much,زین زیادہ کچھ نہیں کرتا
please help me cook,براہ مہربانی مجھے کھانا پکانے میں مدد کریں
you learn quickly,آپ جلدی سیکھتے ہیں
say aah,آہ کہنا
zain is a gardener,زین ایک باغبان ہے
i will take the risk,میں خطرہ مول لوں گا
how did she tell them,اس نے انہیں کیسے بتایا
i had a good holiday,میں نے ایک اچھی چھٹی تھی
he came straight up to me,وہ سیدھا میرے پاس آیا۔
we cant help you,ہم آپ کی مدد نہیں کر سکتے
did zain go,زین گیا
how is it,یہ کیسا ہے
i trust your advice,مجھے آپ کے مشورے پر بھروسہ ہے
it will be better if there is upper floor,اگر بالائی منزل ہو تو بہتر ہوگا
he likes oranges,وہ سنترے پسند کرتا ہے
am i going too fast,میں بہت تیزی سے جا رہا ہوں
i wish i were younger,کاش میں چھوٹا ہوتا
its monday,اس کا پیر
we will find out,ہم پتہ چل جائے گا
i teach geography,میں جغرافیہ سکھاتا ہوں
i will play along,میں ساتھ کھیلوں گا
i am here,mujhe tum pr yakeen hai
thats my fault,یہ میری غلطی ہے
i ate some spinach,میں نے کچھ پالک کھایا
zain was with me,زین میرے ساتھ تھا
zain said something,زین نے کچھ کہا
zain fought bravely,زین نے بہادری سے مقابلہ کیا
do you want to see it,کیا آپ اسے دیکھنا چاہتے ہیں
i had rather stay home,میں نے بلکہ گھر رہنا تھا
she enjoys reading books,وہ کتابیں پڑھنے سے لطف اندوز ہوتی ہے
i do all the work,میں تمام کام کرتا ہوں
just check it,بس اسے چیک کریں
that cant be helped,کہ مدد نہیں کی جا سکتی
i always feel hungry,مجھے ہمیشہ بھوک لگتی ہے
i need a partner,میں ایک ساتھی کی ضرورت ہے
how many boys are in this class,اس کلاس میں کتنے لڑکے ہیں؟
cut that out,اسے کاٹ یں
i like apples,مجھے سیب پسند ہیں
lie still,ٹھٹھا
he is here,وہ یہاں ہے
i met him by chance,میں اتفاق سے اس سے ملا
"please, show me the menu","براہ مہربانی، مجھے مینو دکھائیں"
zain has a cool job,زین ایک ٹھنڈا کام ہے
he loves coffee,وہ کافی سے محبت کرتا ہے
the doctor has a large practice,ڈاکٹر کی ایک بڑی مشق ہے
what is his age,اس کی عمر کیا ہے
i will go if you go,اگر تم جاؤ گے تو میں جاؤں گا
bring me a cup of tea,میرے لئے ایک کپ چائے لے آؤ
zain rides a bicycle,زین سائیکل چلاتا ہے
excuse me i am lost,معاف کیجئے گا میں کھو گیا ہوں
i have got to know,مجھے پتہ چل گیا ہے
i own a restaurant on park street,میں پارک سڑک پر ایک ریستوران کا مالک ہوں
are you afraid of me,کیا تم مجھ سے ڈرتے ہو
i am not middle class even,میں متوسط طبقے کا بھی نہیں ہوں
did you eat breakfast,کیا آپ نے ناشتہ کیا
your pants are dirty,آپ کی پتلون گندی ہیں
this rice is of an inferior quality,یہ چاول ایک گھٹیا معیار کا ہے
they wont be shot,انہیں گولی نہیں ماری جائے گی
you need to wake up,آپ کو جاگنے کی ضرورت ہے
wheres the bakery,جہاں بیکری
guess who i saw today,اندازہ لگائیں کہ آج میں نے کس کو دیکھا
i cant hear a thing,میں ایک بات نہیں سن سکتا
this bicycle is mine,یہ سائیکل میری ہے
zain lost his job,زین نے اپنی ملازمت کھو دی
i had be careful,میں نے محتاط رہنا تھا
i wanted to give up,میں ہار ماننا چاہتا تھا
tell me the story,مجھے کہانی بتائیں
can you hear me tom,کیا آپ مجھے ٹام سن سکتے ہیں
everybodys happy,ہر کوئی خوش
he died of cholera,وہ ہیضے کی وجہ سے انتقال کر گئے
this button is loose,یہ بٹن ڈھیلا ہے
do you want to know,کیا آپ خدا کو جاننا چاہتے ہیں؟
i feel well,میں ٹھیک محسوس کر رہا ہوں
i have to win,میں جیتنا ہے
she does not study german on monday,وہ پیر کو جرمن زبان کی تعلیم حاصل نہیں کرتی
you taught us that,آپ نے ہمیں سکھایا کہ
i have lost my wallet,میں نے اپنا بٹوہ کھو دیا ہے
i am against it,میں اس کے خلاف ہوں
i am a hero,میں ایک ہیرو ہوں
you are wasting ammo,آپ بارود ضائع کر رہے ہیں
more coffee please,مزید کافی براہ مہربانی
zain seems unreliable,زین ناقابل بھروسہ لگتا ہے
come in and sit down,اندر آکر بیٹھ جاؤ
i cant help anyone,میں کسی کی مدد نہیں کر سکتا
where is your school,آپ کا اسکول کہاں ہے
thats all i need,مجھے صرف اتنا ہی درکار ہے
i sleep standing up,میں کھڑے ہو کر سوتا ہوں
why did you go there,تم وہاں کیوں گئے
zain wanted to live,زین جینا چاہتا تھا
you are not dressed,آپ نے کپڑے نہیں پہنے ہیں
thanks for the offer,پیشکش کے لئے شکریہ
we spoke briefly,ہم نے مختصر بات کی
show me another watch,مجھے ایک اور گھڑی دکھائو۔
i only met zain twice,میں صرف زین سے دو بار ملا
i am milking my goat,میں اپنی بکری کا دودھ پی رہا ہوں
she danced with joy,وہ خوشی سے رقص کرتی تھی
come here and help me,یہاں آؤ اور میری مدد کرو
she is not here yet,وہ ابھی یہاں نہیں ہے
he abandoned the idea,اس نے اس خیال کو ترک کر دیا
you must not come in,آپ کو اندر نہیں آنا چاہئے
they will be back soon,وہ جلد ہی واپس آجائیں گے
i am zains father,میں زین باپ ہوں
return fire,آگ واپس کرنا
we already knew that,ہم پہلے ہی جانتے تھے کہ
do as you like,جیسا آپ چاہیں کریں
were cooperating,تعاون کر رہے تھے
i am going to go home,میں گھر جانے جا رہا ہوں
cows eat grass,گائے گھاس کھاتی ہیں
where is her family,اس کا خاندان کہاں ہے
i will go ask tom,میں ٹام سے پوچھوں گا
turn it off please,براہ مہربانی اسے بند کریں
she shaved her head,اس نے اپنا سر منڈا لیا
zain is a slow walker,زین ایک سست چلنے والا ہے
you sound very young,آپ بہت کم عمر لگ رہے ہیں
zain lay on his back,زین اپنی پیٹھ پر لیٹ گیا
is this good french,کیا یہ اچھی فرانسیسی ہے
were doctors,ڈاکٹر تھے
he is a fanatic,وہ ایک جنونی ہے
i love kids,میں بچوں سے محبت کرتا ہوں
it was a false alarm,یہ ایک جھوٹا الارم تھا
zain will save us,زین ہمیں بچا لے گا
i am always busy,میں ہمیشہ مصروف رہتا ہوں
it was very windy,یہ بہت ہوا تھی
its safe here,یہاں اس کی حفاظت
give me a call later,مجھے بعد میں کال کریں
what do you want,کیا تم چاہئے پیو گیا
you need it,آپ کو اس کی ضرورت ہے
i was the only man,میں واحد آدمی تھا
she sent me a letter,اس نے مجھے ایک خط بھیجا
yesterday was cloudy,کل ابر آلود تھا
she is upset,وہ پریشان ہے
bring me my shoes,میرے جوتے لے آؤ
what is zain drinking,زین پینے کیا ہے
i slept nine hours,میں نو گھنٹے سویا
zain is swimming,زین تیراکی کر رہا ہے
where does he work,وہ کہاں کام کرتا ہے
zain is running,زین چل رہا ہے
come tomorrow morning,کل صبح آؤ
everybody looked up,سب نے اوپر دیکھا
i am a busy guy,میں ایک مصروف آدمی ہوں
i really am sorry,میں واقعی معذرت خواہ ہوں
we all are ready,ہم سب تیار ہیں
why is zain wet,زین گیلا کیوں ہے
pandas are cute,پانڈا پیارے ہیں
i will always love tom,میں ہمیشہ ٹام سے محبت کروں گا
i will make some tea,میں کچھ چائے بناؤگا
everyone was drinking,ہر کوئی شراب پی رہا تھا
dont spill the beans,پھلیاں نہ پھیلائیں
stay away from us,ہم سے دور رہو
zain came by,زین کی طرف سے آیا
dont leave the room,کمرے سے باہر نہ نکلیں
i need first aid,مجھے ابتدائی طبی امداد کی ضرورت ہے
zain loves his work,زین کو اپنے کام سے محبت ہے
let the fun begin,تفریح شروع ہونے دیں
people are dying,لوگ مر رہے ہیں
have a good trip,ایک اچھا سفر ہے
could this be love,یہ محبت ہو سکتی ہے
zain doesnt do that,زین ایسا نہیں کرتا
this hat cost me,یہ ٹوپی مجھے خرچ
all the boxes are empty ,سارے ڈبے خالی ہیں۔
zain is right,زین صحیح ہے
it wasnt serious,یہ سنجیدہ نہیں تھا
that wasnt tom,کہ ٹام نہیں تھا
i am only human,میں صرف انسان ہوں
please be gentle,براہ مہربانی نرم رویہ اختیار کریں
were playing cards,تاش کھیل رہے تھے
have you had lunch,کیا آپ نے دوپہر کا کھانا کھایا ہے
why is he here,وہ یہاں کیوں ہے
i turned right,میں دائیں مڑ گیا
he is japanese,وہ جاپانی ہے۔
cats catch mice,بلیوں نے چوہوں کو پکڑ ا
give me my beer,مجھے میری بیئر دے دو
i hate tom,میں ٹام سے نفرت کرتا ہوں
the answer was easy,اس کا جواب آسان تھا
i remember the word,مجھے لفظ یاد ہے
zain has alzheimers,زین کو الزائمر ہے
were in the garden,باغ میں تھے
was the door locked,دروازہ بند تھا
he wanted to meet you,وہ آپ سے ملنا چاہتا تھا
he didnt see anybody,اس نے کسی کو نہیں دیکھا
itâ€™s torn,یہ پھٹا ہوا ہے
i am quite hungry,مجھے کافی بھوک لگی ہے
anything,کچھ بھی
this is not a joke,یہ کوئی مذاق نہیں ہے
lead is easily bent,سیسہ آسانی سے جھکا ہوا ہے
shame on you,تم پر شرم کی بات ہے
how about a snack,ایک ناشتے کے بارے میں کیا
he can hardly walk,وہ مشکل سے چل سکتا ہے
he will not approve,وہ منظور نہیں کرے گا
we went to the zoo,ہم چڑیا گھر گئے
zain is my colleague,زین میرا ساتھی ہے
this isnt sugar,یہ چینی نہیں ہے
zain is dating mary,زین مریم کو ڈیٹ کر رہا ہے
zain was dumbstruck,زین گونگا تھا
the pain has gone,درد چلا گیا ہے
its very clean,اس کی بہت صاف
he kept his word,اس نے اپنا وعدہ پورا کیا
dont go in my room,میرے کمرے میں نہ جاؤ
we have no sugar,ہمارے پاس چینی نہیں ہے
they seem busy,وہ مصروف نظر آتے ہیں
i want to start now,میں اب شروع کرنا چاہتے ہیں
i cant go with you,میں آپ کے ساتھ نہیں جا سکتا
is she here yet,کیا وہ ابھی تک یہاں ہے
that was unexpected,یہ غیر متوقع تھا
the cabinet resigned,کابینہ مستعفی
no one will survive,کوئی بھی زندہ نہیں رہے گا
what sort of assurance can you provide,آپ کس طرح کی یقین دہانی کرا سکتے ہیں
spiders scare me,مکڑیاں مجھے ڈراتی ہیں
i made dinner,میں نے رات کا کھانا بنایا
my bicycle is in need of repair,میری سائیکل کی مرمت کی ضرورت ہے
zains asleep,زین سورہے ہیں
zain is a bachelor,زین کنوارا ہے
i followed the bus,میں نے بس کا پیچھا کیا
it was toms,یہ ٹومز تھا
turn it up,اسے اوپر کریں
i ran to my mother,میں اپنی ماں کے پاس بھاگا
tell zain to relax,زین کو آرام کرنے کو کہیں
what keeps you going,کیا آپ کو جاری رکھتا ہے
its dinner time get ready,اس کے رات کے کھانے کا وقت تیار ہو جاؤ
she is a twin,وہ ایک جڑواں ہے
they talk about their plans for the weekend,وہ ہفتے کے آخر میں اپنے منصوبوں کے بارے میں بات کرتے ہیں
you are welcomed,آپ کا خیر مقدم کیا جاتا ہے
do you want vegetables with it,کیا آپ اس کے ساتھ سبزیاں چاہتے ہیں
he deserved it,وہ اس کا مستحق تھا
look what happened,دیکھو کیا ہوا
i made a big mistake,میں نے ایک بڑی غلطی کی
thanks for the info,معلومات کیلئے شکریہ
zain should apologize,زین کو معافی مانگنی چاہئے
i feel very guilty,تم پکا اب ناز نہیں ہو نا
we are good friends,ہم اچھے دوست ہیں
he easily gets angry,وہ آسانی سے غصہ ہو جاتا ہے
i like mahjong,مجھے مہجونگ پسند ہے
zain winked,زین نے آنکھ ماری
i saw him running up the stairs,میں نے اسے سیڑھیوں پر دوڑتے ہوئے دیکھا
you guys are idiots,تم لوگ بیوقوف ہو
i think zain liked it,مجھے لگتا ہے کہ زین یہ پسند آیا
three weeks went by,تین ہفتے گزر گئے
zain felt humiliated,زین ذلیل محسوس ہوا
i am six feet tall,میں چھ فٹ لمبا ہوں
i need a smoke,مجھے دھوئیں کی ضرورت ہے
what was left,جو کچھ بچا تھا
i felt like crying,مجھے رونے کا احساس ہوا
he lied to me,اس نے مجھ سے جھوٹ بولا
zain got off the bus,زین بس سے اتر گیا
zain is a big eater,زین ایک بڑا کھانے والا ہے
zain ate a tv dinner,زین نے ٹی وی ڈنر کھایا
remove your hat,اپنی ٹوپی ہٹادیں
do you live nearby,کیا آپ قریب ہی رہتے ہیں
its forbidden,اس کی
i feel bad today,مجھے آج برا لگتا ہے
which is better,جو بہتر ہے
i know you,Do i know you
it wont help you,یہ آپ کی مدد نہیں کرے گا
i hugged her tightly,میں نے اسے مضبوطی سے گلے لگایا
i am in paris,میں پیرس میں ہوں
dont be a bad boy,ایک برا لڑکا نہ بنیں
zain hit the target,زین نے ہدف کو نشانہ بنایا
he refused to pay,اس نے ادائیگی سے انکار کر دیا
he is wearing a hat,اس نے ٹوپی پہن رکھی ہے
we will lets go,ہم جانے دیں گے
can you confirm that,کیا آپ اس کی تصدیق کر سکتے ہیں
stealing is wrong,چوری غلط ہے
he is good at soccer,وہ فٹ بال میں اچھا ہے
they look confused,وہ الجھے ہوئے نظر آتے ہیں
weve missed you,ہم نے آپ کو یاد کیا
my shoes got wet,میرے جوتے گیلے ہو گئے
help me please,براہ مہربانی میری مدد کریں
dont ask me why,مجھ سے مت پوچھو کیوں
i have enough money,میرے پاس کافی پیسے ہیں
zain may have seen it,زین نے اسے دیکھا ہوگا
this is your fate,یہ آپ کی قسمت ہے
its dark inside,اس کے اندر اندھیرا
zains engaged,زین مشغول
zain was left behind,زین پیچھے رہ گیا
i am worn out,میں بوسیدہ ہو چکا ہوں
i tend to catch colds,میں زکام پکڑنے کا رجحان رکھتے ہیں
i have got zains keys,میں نے زین کی چابیاں مل گئی ہیں
are you busy,کيا تم مصروف ہو
grab him,اسے پکڑنا
i cant do anything,میں کچھ نہیں کر سکتا
i am good at my work,میں اپنے کام میں اچھا ہوں
we have a big dog,ہم ایک بڑا کتا ہے
who gave this to you,یہ آپ کو کس نے دیا
we had an oral exam,ہم نے زبانی امتحان دیا تھا
zain wants to work,زین کام کرنا چاہتا ہے
will our food be long,کیا ہمارا کھانا لمبا ہوگا
its worthless junk,اس کا بیکار کباڑ
somethings missing,کچھ غائب
thats justice,یہ انصاف ہے
it stinks in here,یہ یہاں میں بدبو دار ہے
zain is the leader,زین قائد ہے
i am not crazy,میں پاگل نہیں ہوں
zain knows the system,زین نظام جانتا ہے
it sounds simple,یہ آسان لگتا ہے
dont buy that,اسے نہ خریدیں
i dont mind doing it,مجھے ایسا کرنے میں کوئی اعتراض نہیں ہے
you must forgive me,آپ کو مجھے معاف کرنا چاہئے
i hope zain agrees,مجھے امید ہے کہ زین اس سے اتفاق کرتا ہے
how can this be,یہ کیسے ہوسکتا ہے
did you miss me,آپ کو مجھ سے کوئی کام تھا کیا
i cant deny that,میں اس سے انکار نہیں کر سکتا
loosen up,ڈھیلا
i will cook tonight,میں آج رات کھانا پکاوں گا
did you like it,کیا آپ کو پسند آیا
please wish me luck,براہ مہربانی میری قسمت کی خواہش کریں
we are arabs,ہم عرب ہیں
let me talk,مجھے بات کرنے دو
dont stop here,یہاں مت رکو
i saw them,میں نے انہیں دیکھا
when was it finished,یہ کب ختم ہوا
zain is the expert,زین ماہر ہے
zain seems stressed,زین دباؤ میں لگتا ہے
that was quick,یہ جلدی تھا
she is getting older,وہ بوڑھی ہو رہی ہے
zain knows this place,زین اس جگہ کو جانتا ہے
get out of my sight,میری نظروں سے ہٹ جاؤ
is she a doctor,کیا وہ ایک ڈاکٹر ہے
this is for you tom,یہ آپ کے لئے ہے ٹام
